"date","value","measurement","city_code","mma","building_code"
"1965/11/26",0.771743008480371,"roof","ot","avg","oton"
"1965/11/29",0.0472047643878284,"roof","ot","avg","oton"
"1965/12/02",0.288717512418685,"roof","ot","avg","oton"
"1965/12/05",0.0472047643878284,"roof","ot","avg","oton"
"1965/12/08",0.0472047643878284,"roof","ot","avg","oton"
"1965/12/10",0.0472047643878284,"roof","ot","avg","oton"
"1965/12/13",0.650986634464957,"roof","ot","avg","oton"
"1965/12/16",0.959586256948811,"roof","ot","avg","oton"
"1965/12/19",1.02667313140181,"roof","ot","avg","oton"
"1965/12/21",1.49628125257291,"roof","ot","avg","oton"
"1965/12/26",1.49628125257291,"roof","ot","avg","oton"
"1965/12/29",0.973003631839404,"roof","ot","avg","oton"
"1965/12/31",0.248465387746862,"roof","ot","avg","oton"
"1966/01/03",0.328969637090495,"roof","ot","avg","oton"
"1966/01/06",0.288717512418685,"roof","ot","avg","oton"
"1966/01/09",0.288717512418685,"roof","ot","avg","oton"
"1966/01/12",0.288717512418685,"roof","ot","avg","oton"
"1966/01/14",0.0874568890596379,"roof","ot","avg","oton"
"1966/01/17",0.449726011105909,"roof","ot","avg","oton"
"1966/01/20",1.4560291279011,"roof","ot","avg","oton"
"1966/01/23",2.27448899622786,"roof","ot","avg","oton"
"1966/01/26",2.05981099797822,"roof","ot","avg","oton"
"1966/01/28",0.946168882058203,"roof","ot","avg","oton"
"1966/01/31",0.288717512418685,"roof","ot","avg","oton"
"1966/02/03",0.0874568890596379,"roof","ot","avg","oton"
"1966/02/06",0.288717512418685,"roof","ot","avg","oton"
"1966/02/09",1.30307105414823,"roof","ot","avg","oton"
"1966/02/11",2.46233224469631,"roof","ot","avg","oton"
"1966/02/15",2.70384499272716,"roof","ot","avg","oton"
"1966/02/17",1.73779400060377,"roof","ot","avg","oton"
"1966/02/20",0.868348107692711,"roof","ot","avg","oton"
"1966/02/23",0.36922176176229,"roof","ot","avg","oton"
"1966/02/26",0.288717512418685,"roof","ot","avg","oton"
"1966/03/01",0.208213263075066,"roof","ot","avg","oton"
"1966/03/04",0.36922176176229,"roof","ot","avg","oton"
"1966/03/06",0.4094738864341,"roof","ot","avg","oton"
"1966/03/09",0.932751507167609,"roof","ot","avg","oton"
"1966/03/12",1.9390546239628,"roof","ot","avg","oton"
"1966/03/14",1.97930674863461,"roof","ot","avg","oton"
