"date","value","measurement","city_code","mma","building_code"
"1965/11/27",4.26502009658758,"roof","ot","max","oton"
"1965/12/01",3.33679735229964,"roof","ot","max","oton"
"1965/12/03",3.07511326910215,"roof","ot","max","oton"
"1965/12/06",3.02605278109385,"roof","ot","max","oton"
"1965/12/09",3.07439551669583,"roof","ot","max","oton"
"1965/12/12",3.24496726502075,"roof","ot","max","oton"
"1965/12/15",4.06996032498829,"roof","ot","max","oton"
"1965/12/18",4.36276108603614,"roof","ot","max","oton"
"1965/12/21",4.49258983012008,"roof","ot","max","oton"
"1965/12/24",4.50018956148109,"roof","ot","max","oton"
"1965/12/27",4.50778929284211,"roof","ot","max","oton"
"1965/12/29",4.06721597755238,"roof","ot","max","oton"
"1966/01/01",2.54275208726331,"roof","ot","max","oton"
"1966/01/03",1.10627619784287,"roof","ot","max","oton"
"1966/01/11",2.39797720483605,"roof","ot","max","oton"
"1966/01/14",4.59793055092965,"roof","ot","max","oton"
"1966/01/17",7.49828358339998,"roof","ot","max","oton"
"1966/01/19",9.94983025827281,"roof","ot","max","oton"
"1966/01/22",12.0602756572256,"roof","ot","max","oton"
"1966/01/25",11.8805842312675,"roof","ot","max","oton"
"1966/01/28",9.19036377092911,"roof","ot","max","oton"
"1966/01/30",6.45952696853912,"roof","ot","max","oton"
"1966/02/02",8.31673243025109,"roof","ot","max","oton"
"1966/02/04",11.0324753217435,"roof","ot","max","oton"
"1966/02/07",12.8983450803603,"roof","ot","max","oton"
"1966/02/10",12.3298127961628,"roof","ot","max","oton"
"1966/02/13",11.0349030137061,"roof","ot","max","oton"
"1966/02/16",12.0288634342668,"roof","ot","max","oton"
"1966/02/18",13.6169117436096,"roof","ot","max","oton"
"1966/02/21",14.1541705301033,"roof","ot","max","oton"
"1966/02/24",12.5395653817267,"roof","ot","max","oton"
"1966/02/27",10.5432426153784,"roof","ot","max","oton"
"1966/03/02",8.36714398161246,"roof","ot","max","oton"
"1966/03/04",6.58536585365853,"roof","ot","max","oton"
"1966/03/07",4.80154002031007,"roof","ot","max","oton"
"1966/03/11",2.23617329472948,"roof","ot","max","oton"
"1966/03/12",1.53502770879325,"roof","ot","max","oton"
