"date","value","measurement","city_code","mma","building_code"
"1965/11/27",2.71111757736995,"roof","ot","avg","oton"
"1965/12/01",2.58129819383534,"roof","ot","avg","oton"
"1965/12/04",1.75281801869212,"roof","ot","avg","oton"
"1965/12/07",1.35555878868497,"roof","ot","avg","oton"
"1965/12/09",2.04223390767568,"roof","ot","avg","oton"
"1965/12/13",1.43624384262048,"roof","ot","avg","oton"
"1965/12/16",2.13829942011513,"roof","ot","avg","oton"
"1965/12/18",2.37274749028329,"roof","ot","avg","oton"
"1965/12/21",3.68844179327833,"roof","ot","avg","oton"
"1965/12/24",4.71294660486768,"roof","ot","avg","oton"
"1965/12/26",4.5692432398728,"roof","ot","avg","oton"
"1965/12/30",3.37649561102683,"roof","ot","avg","oton"
"1966/01/01",2.10891027373059,"roof","ot","avg","oton"
"1966/01/05",0.164986594059798,"roof","ot","avg","oton"
"1966/01/07",0.101427888512475,"roof","ot","avg","oton"
"1966/01/10",1.2635878037121,"roof","ot","avg","oton"
"1966/01/13",2.30415895911707,"roof","ot","avg","oton"
"1966/01/16",1.89345914825515,"roof","ot","avg","oton"
"1966/01/18",2.46392173979314,"roof","ot","avg","oton"
"1966/01/21",3.45005300022864,"roof","ot","avg","oton"
"1966/01/24",5.82216864464905,"roof","ot","avg","oton"
"1966/01/27",6.3960675908798,"roof","ot","avg","oton"
"1966/01/30",6.53336935963253,"roof","ot","avg","oton"
"1966/02/01",7.19181925882818,"roof","ot","avg","oton"
"1966/02/04",7.7763182507846,"roof","ot","avg","oton"
"1966/02/07",7.57529150125745,"roof","ot","avg","oton"
"1966/02/10",7.13208488350342,"roof","ot","avg","oton"
"1966/02/12",6.54496705672064,"roof","ot","avg","oton"
"1966/02/16",6.14790181447842,"roof","ot","avg","oton"
"1966/02/20",5.26697566146365,"roof","ot","avg","oton"
"1966/02/23",4.35100700434394,"roof","ot","avg","oton"
"1966/02/26",3.19435495604098,"roof","ot","avg","oton"
"1966/03/01",2.74146280631012,"roof","ot","avg","oton"
"1966/03/04",2.52368382765573,"roof","ot","avg","oton"
"1966/03/09",1.83318437844243,"roof","ot","avg","oton"
"1966/03/12",1.94666722091742,"roof","ot","avg","oton"
