"date","value","measurement","city_code","mma","building_code"
"1966/01/06",9.23260610007598,"roof","lc","max","lcab"
"1966/01/06",12.3369152284815,"roof","lc","max","lcab"
"1966/01/07",18.410217446362,"roof","lc","max","lcab"
"1966/01/08",23.2616954303701,"roof","lc","max","lcab"
"1966/01/07",15.5606208618257,"roof","lc","max","lcab"
"1966/01/08",26.3063063063063,"roof","lc","max","lcab"
"1966/01/09",29.5300119396505,"roof","lc","max","lcab"
"1966/01/09",32.8731140779334,"roof","lc","max","lcab"
"1966/01/10",36.2162162162162,"roof","lc","max","lcab"
"1966/01/11",39.7185136944173,"roof","lc","max","lcab"
"1966/01/13",40.4746915590289,"roof","lc","max","lcab"
"1966/01/17",41.2109700061507,"roof","lc","max","lcab"
"1966/01/19",39.4876804515359,"roof","lc","max","lcab"
"1966/01/22",36.1366185462571,"roof","lc","max","lcab"
"1966/01/24",33.7088896125041,"roof","lc","max","lcab"
"1966/01/27",31.6075111255834,"roof","lc","max","lcab"
"1966/01/30",30.1866927168132,"roof","lc","max","lcab"
"1966/02/01",27.8584608705091,"roof","lc","max","lcab"
"1966/02/04",25.3511342667969,"roof","lc","max","lcab"
"1966/02/06",23.0826006729621,"roof","lc","max","lcab"
"1966/02/09",24.3482036253121,"roof","lc","max","lcab"
"1966/02/12",26.3859039762654,"roof","lc","max","lcab"
"1966/02/14",28.407684793227,"roof","lc","max","lcab"
"1966/02/17",31.2732009117551,"roof","lc","max","lcab"
"1966/02/19",33.6690907775245,"roof","lc","max","lcab"
"1966/02/21",32.5945222330764,"roof","lc","max","lcab"
"1966/02/22",30.1269944643439,"roof","lc","max","lcab"
"1966/02/23",27.4604725207135,"roof","lc","max","lcab"
"1966/02/24",24.7939505770831,"roof","lc","max","lcab"
"1966/02/25",19.4609066898224,"roof","lc","max","lcab"
"1966/02/25",22.4856181482687,"roof","lc","max","lcab"
"1966/02/28",15.77288131505,"roof","lc","max","lcab"
"1966/03/02",19.5007055248019,"roof","lc","max","lcab"
"1966/03/05",22.4856181482687,"roof","lc","max","lcab"
"1966/03/07",25.6695249466334,"roof","lc","max","lcab"
"1966/03/10",28.2166503853251,"roof","lc","max","lcab"
"1966/03/12",30.8035746589963,"roof","lc","max","lcab"
"1966/03/14",29.56981077463,"roof","lc","max","lcab"
"1966/03/15",26.7042946561019,"roof","lc","max","lcab"
"1966/03/16",23.5203878577373,"roof","lc","max","lcab"
"1966/03/17",20.3165816418828,"roof","lc","max","lcab"
"1966/03/19",16.6086568496207,"roof","lc","max","lcab"
"1966/03/20",12.2971163935019,"roof","lc","max","lcab"
"1966/03/22",9.23260610007598,"roof","lc","max","lcab"
"1966/03/24",6.05665906870726,"roof","lc","max","lcab"
"1966/03/26",2.95234994030174,"roof","lc","max","lcab"
"1966/03/28",0.755454249430159,"roof","lc","max","lcab"
