"date","value","measurement","city_code","mma","building_code"
"1966/01/08",8.20010854450339,"ground","sk",NA,"sksk"
"1966/01/10",7.46226369365684,"ground","sk",NA,"sksk"
"1966/01/14",6.47785414745636,"ground","sk",NA,"sksk"
"1966/01/17",5.58800216192409,"ground","sk",NA,"sksk"
"1966/01/19",5.47865071953464,"ground","sk",NA,"sksk"
"1966/01/23",5.92739846507877,"ground","sk",NA,"sksk"
"1966/01/26",6.37614621062286,"ground","sk",NA,"sksk"
"1966/01/31",6.82119548573667,"ground","sk",NA,"sksk"
"1966/02/02",6.80455236880027,"ground","sk",NA,"sksk"
"1966/02/05",6.77681384057297,"ground","sk",NA,"sksk"
"1966/02/08",6.75277378277596,"ground","sk",NA,"sksk"
"1966/02/10",6.73797990105473,"ground","sk",NA,"sksk"
"1966/02/14",6.71024137282743,"ground","sk",NA,"sksk"
"1966/02/19",6.18937345389227,"ground","sk",NA,"sksk"
"1966/02/20",6.17827804260136,"ground","sk",NA,"sksk"
"1966/02/25",6.62332731771517,"ground","sk",NA,"sksk"
"1966/02/28",6.71517266673447,"ground","sk",NA,"sksk"
"1966/03/04",6.56600102604537,"ground","sk",NA,"sksk"
"1966/03/07",6.53641326260291,"ground","sk",NA,"sksk"
"1966/03/11",6.51052396959076,"ground","sk",NA,"sksk"
"1966/03/13",5.85240170357528,"ground","sk",NA,"sksk"
"1966/03/16",4.9514132126362,"ground","sk",NA,"sksk"
"1966/03/19",4.0559724273426,"ground","sk",NA,"sksk"
"1966/03/22",2.91458335843345,"ground","sk",NA,"sksk"
"1966/03/25",1.70781355113962,"ground","sk",NA,"sksk"
"1966/03/29",0.24173987256529,"ground","sk",NA,"sksk"
