"date","value","measurement","city_code","mma","building_code"
"1966/01/06",6.79571204687474,"ground","sk",NA,"sksk"
"1966/01/09",6.39875706257074,"ground","sk",NA,"sksk"
"1966/01/12",6.40755965461972,"ground","sk",NA,"sksk"
"1966/01/15",6.35505848061329,"ground","sk",NA,"sksk"
"1966/01/18",6.17932101792117,"ground","sk",NA,"sksk"
"1966/01/21",6.43145240446695,"ground","sk",NA,"sksk"
"1966/01/24",6.60079750864733,"ground","sk",NA,"sksk"
"1966/01/28",6.73966887749624,"ground","sk",NA,"sksk"
"1966/01/31",6.45672841877902,"ground","sk",NA,"sksk"
"1966/02/02",6.05964768316002,"ground","sk",NA,"sksk"
"1966/02/05",5.82449272413727,"ground","sk",NA,"sksk"
"1966/02/08",5.87248780935671,"ground","sk",NA,"sksk"
"1966/02/11",5.7586828692949,"ground","sk",NA,"sksk"
"1966/02/16",5.77314427051822,"ground","sk",NA,"sksk"
"1966/02/21",5.90832693412756,"ground","sk",NA,"sksk"
"1966/02/24",6.17142662981375,"ground","sk",NA,"sksk"
"1966/02/27",5.80206707296487,"ground","sk",NA,"sksk"
"1966/03/02",5.99900760460039,"ground","sk",NA,"sksk"
"1966/03/05",6.2762193923016,"ground","sk",NA,"sksk"
"1966/03/08",6.59388118632312,"ground","sk",NA,"sksk"
"1966/03/10",6.1160261893785,"ground","sk",NA,"sksk"
"1966/03/13",5.67862119875417,"ground","sk",NA,"sksk"
"1966/03/16",4.87716615124704,"ground","sk",NA,"sksk"
"1966/03/18",4.15535360323067,"ground","sk",NA,"sksk"
"1966/03/21",3.04710726426406,"ground","sk",NA,"sksk"
"1966/03/24",1.88994366376814,"ground","sk",NA,"sksk"
"1966/03/27",0.336495752648105,"ground","sk",NA,"sksk"
"1966/03/29",0.301075798927215,"ground","sk",NA,"sksk"
