"date","value","measurement","city_code","mma","building_code"
"1966/11/18",0.690903768075742,"roof","ot","min","oton"
"1966/11/21",1.23327247093627,"roof","ot","min","oton"
"1966/11/25",0.82649594379086,"roof","ot","min","oton"
"1966/11/28",0.962088119506006,"roof","ot","min","oton"
"1966/12/02",1.83590436300355,"roof","ot","min","oton"
"1966/12/06",3.15868136609117,"roof","ot","min","oton"
"1966/12/09",2.61631266323062,"roof","ot","min","oton"
"1966/12/12",0.916890727600958,"roof","ot","min","oton"
"1966/12/15",0.78129855188584,"roof","ot","min","oton"
"1966/12/19",0.374522024740429,"roof","ot","min","oton"
"1966/12/22",0.148535065215185,"roof","ot","min","oton"
"1966/12/25",0.0129428895000672,"roof","ot","min","oton"
"1966/12/28",0.0129428895000672,"roof","ot","min","oton"
"1966/12/31",0.103337673310165,"roof","ot","min","oton"
"1967/01/03",0.860393987719647,"roof","ot","min","oton"
"1967/01/04",3.83212250547632,"roof","ot","min","oton"
"1967/01/07",6.60611243364841,"roof","ot","min","oton"
"1967/01/10",3.85472120142882,"roof","ot","min","oton"
"1967/01/13",5.25584035048522,"roof","ot","min","oton"
"1967/01/16",4.57787947190957,"roof","ot","min","oton"
"1967/01/19",3.44794467428343,"roof","ot","min","oton"
"1967/01/22",2.34512831180035,"roof","ot","min","oton"
"1967/01/26",0.916890727600958,"roof","ot","min","oton"
"1967/01/29",0.82649594379086,"roof","ot","min","oton"
"1967/02/01",0.871693335695909,"roof","ot","min","oton"
"1967/02/04",1.23327247093627,"roof","ot","min","oton"
"1967/02/07",2.49879944427749,"roof","ot","min","oton"
"1967/02/11",2.36320726856238,"roof","ot","min","oton"
"1967/02/12",2.18241770094218,"roof","ot","min","oton"
"1967/02/20",2.36320726856238,"roof","ot","min","oton"
"1967/02/23",2.12818083065613,"roof","ot","min","oton"
"1967/02/26",1.69428586836773,"roof","ot","min","oton"
"1967/03/01",1.91123334951192,"roof","ot","min","oton"
"1967/03/04",2.04682552522706,"roof","ot","min","oton"
"1967/03/08",2.19748349824388,"roof","ot","min","oton"
"1967/03/11",1.18807507903122,"roof","ot","min","oton"
"1967/03/17",1.30106855879384,"roof","ot","min","oton"
"1967/03/20",1.09768029522112,"roof","ot","min","oton"
"1967/02/16",2.17687074829931,"roof","ot","min","oton"
