"date","value","measurement","city_code","mma","building_code"
"1966-11-19",8.53109797302224,"roof","ot","max","oton"
"1966-11-21",7.53782225877637,"roof","ot","max","oton"
"1966-11-25",6.45394788504697,"roof","ot","max","oton"
"1966-11-28",5.32456733532132,"roof","ot","max","oton"
"1966-12-01",4.14968060959941,"roof","ot","max","oton"
"1966-12-05",3.27816839051928,"roof","ot","max","oton"
"1966-12-08",2.52800597409589,"roof","ot","max","oton"
"1966-12-10",2.6121234509375,"roof","ot","max","oton"
"1966-12-14",3.84906405301791,"roof","ot","max","oton"
"1966-12-17",4.23586654898628,"roof","ot","max","oton"
"1966-12-21",4.79228297366797,"roof","ot","max","oton"
"1966-12-24",5.25561858381181,"roof","ot","max","oton"
"1966-12-27",6.00715997526538,"roof","ot","max","oton"
"1966-12-31",7.04690714802868,"roof","ot","max","oton"
"1967-01-02",8.91492582285403,"roof","ot","max","oton"
"1967-01-05",10.8404674560815,"roof","ot","max","oton"
"1967-01-09",10.8970054323193,"roof","ot","max","oton"
"1967-01-13",11.6333780984408,"roof","ot","max","oton"
"1967-01-16",9.95723394924485,"roof","ot","max","oton"
"1967-01-19",10.0024643302351,"roof","ot","max","oton"
"1967-01-23",10.7757935271656,"roof","ot","max","oton"
"1967-01-25",11.1659055632064,"roof","ot","max","oton"
"1967-01-28",11.3375879544651,"roof","ot","max","oton"
"1967-02-01",10.2539893757417,"roof","ot","max","oton"
"1967-02-04",8.84274632984523,"roof","ot","max","oton"
"1967-02-07",7.4219883562404,"roof","ot","max","oton"
"1967-02-11",5.91076962065512,"roof","ot","max","oton"
"1967-02-13",5.84581989673319,"roof","ot","max","oton"
"1967-02-16",7.67434078676516,"roof","ot","max","oton"
"1967-02-20",9.64834354248225,"roof","ot","max","oton"
"1967-02-23",11.3768887428255,"roof","ot","max","oton"
"1967-02-26",12.5228169929134,"roof","ot","max","oton"
"1967-03-02",10.6198314512511,"roof","ot","max","oton"
"1967-03-04",8.53468330810074,"roof","ot","max","oton"
"1967-03-07",7.44970575434721,"roof","ot","max","oton"
"1967-03-08",3.40503409329676,"roof","ot","max","oton"
"1967-03-11",1.90746721051039,"roof","ot","max","oton"
