"date","value","measurement","city_code","mma","building_code"
"1966/12/09",2.17044818474113,"roof","ot","min","oton"
"1966/12/12",0.566720037489716,"roof","ot","min","oton"
"1966/12/16",0.429257624868171,"roof","ot","min","oton"
"1966/12/19",0.520899233282563,"roof","ot","min","oton"
"1966/12/22",0.0168703870035358,"roof","ot","min","oton"
"1966/12/25",0.0168703870035358,"roof","ot","min","oton"
"1966/12/28",0.154332799625081,"roof","ot","min","oton"
"1966/12/31",1.07074888376874,"roof","ot","min","oton"
"1967/01/03",3.42593822001794,"roof","ot","min","oton"
"1967/01/07",3.3159682899207,"roof","ot","min","oton"
"1967/01/10",2.44537300998422,"roof","ot","min","oton"
"1967/01/13",4.41566759089309,"roof","ot","min","oton"
"1967/01/16",3.45343070254225,"roof","ot","min","oton"
"1967/01/23",3.86581794040688,"roof","ot","min","oton"
"1967/01/26",2.7661186394345,"roof","ot","min","oton"
"1967/01/29",0.896629827781453,"roof","ot","min","oton"
"1967/02/01",0.658361645904108,"roof","ot","min","oton"
"1967/02/04",1.11656968797593,"roof","ot","min","oton"
"1967/02/15",1.84970255529083,"roof","ot","min","oton"
"1967/02/18",2.07880657632677,"roof","ot","min","oton"
"1967/02/21",1.66641933846211,"roof","ot","min","oton"
"1967/02/24",1.66641933846211,"roof","ot","min","oton"
"1967/02/27",1.55644940836487,"roof","ot","min","oton"
"1967/03/03",0.841644862732807,"roof","ot","min","oton"
"1967/03/05",0.291795212246626,"roof","ot","min","oton"
"1967/03/13",0.0168703870035358,"roof","ot","min","oton"
"1967/03/16",0.0168703870035358,"roof","ot","min","oton"
"1967/03/20",0.0168703870035358,"roof","ot","min","oton"
"1967/03/23",0.0168703870035358,"roof","ot","min","oton"
"1967/03/26",0.108511995417899,"roof","ot","min","oton"
"1967/03/28",0.291795212246626,"roof","ot","min","oton"
"1967/02/09",1.10344827586206,"roof","ot","min","oton"
"1967/02/12",1.65517241379308,"roof","ot","min","oton"
"1967/03/09",0,"roof","ot","min","oton"
"1967/01/19",2.75862068965515,"roof","ot","min","oton"
