"date","value","measurement","city_code","mma","building_code"
"1966-12-22",4.76667764731769,"ground","ot",NA,"oton"
"1966-12-25",5.66662123083245,"ground","ot",NA,"oton"
"1966-12-28",7.8773760420311,"ground","ot",NA,"oton"
"1967-01-01",11.0408963610735,"ground","ot",NA,"oton"
"1967-01-04",15.8257051810828,"ground","ot",NA,"oton"
"1967-01-08",16.4965514513323,"ground","ot",NA,"oton"
"1967-01-10",16.7607100184223,"ground","ot",NA,"oton"
"1967-01-13",16.958743289211,"ground","ot",NA,"oton"
"1967-01-16",17.1550634694219,"ground","ot",NA,"oton"
"1967-01-19",17.1475258708797,"ground","ot",NA,"oton"
"1967-01-23",17.6828324146171,"ground","ot",NA,"oton"
"1967-01-28",19.7929184097309,"ground","ot",NA,"oton"
"1967-01-31",20.6633359254211,"ground","ot",NA,"oton"
"1967-02-02",21.5416032028253,"ground","ot",NA,"oton"
"1967-02-05",22.6481455100175,"ground","ot",NA,"oton"
"1967-02-09",23.4210006138704,"ground","ot",NA,"oton"
"1967-02-13",24.1722250940282,"ground","ot",NA,"oton"
"1967-02-17",24.9126228417346,"ground","ot",NA,"oton"
"1967-02-21",25.5170011975671,"ground","ot",NA,"oton"
"1967-02-24",26.3260367744222,"ground","ot",NA,"oton"
"1967-02-28",26.5873401905494,"ground","ot",NA,"oton"
"1967-03-04",27.7595509698889,"ground","ot",NA,"oton"
"1967-03-10",29.0190151626555,"ground","ot",NA,"oton"
