"date","value","measurement","city_code","mma","building_code"
"1966-12-29",3.14304846639956,"roof","ot","max","oton"
"1966-12-31",8.74447396886836,"roof","ot","max","oton"
"1966-12-31",5.47178572912225,"roof","ot","max","oton"
"1967-01-02",12.2072771940659,"roof","ot","max","oton"
"1967-01-05",14.4561920496011,"roof","ot","max","oton"
"1967-01-08",16.3590473809577,"roof","ot","max","oton"
"1967-01-12",16.6760833438811,"roof","ot","max","oton"
"1967-01-15",15.5248864756288,"roof","ot","max","oton"
"1967-01-16",11.3739994821015,"roof","ot","max","oton"
"1967-01-19",8.08150791527657,"roof","ot","max","oton"
"1967-01-20",4.46243276070811,"roof","ot","max","oton"
"1967-01-23",1.53757043186971,"roof","ot","max","oton"
