slope,intercept,sd,transform,type,cap,lambda,elevation
0,0.71490798,0.19886533,2,All_flat,1,,
-0.07211727,0.941219007,0.193831622,2,All_slope,1,,
0,5.907531596,1.294017297,-1,Norway_flat,1,,
-0.940394954,9.028935287,1.222793876,-1,Norway_slope,1,,
0,0.641539335,0.210664976,2,USCA_flat,1,,
-0.109242982,0.971565848,0.197064717,2,USCA_slope,1,,
0,0.625404755,0.204338097,2,CA_flat,1,,
-0.119213322,0.986503781,0.186450187,2,CA_slope,1,2,50
0,0.652478398,0.217993048,2,CA_heated_flat,1,,
-0.129353996,1.036734393,0.203533084,2,CA_heated_slope,1,,
NA,NA,NA,NA,Colorado,1.2,,
NA,0.47,0.42,NA,ORourke,1,,
0,0.5,0.115,1,Ellingwood,10,,
