building_code,city_code,City,Province,Type,Bld_Type,Name,Roof_Type,Slope,Size,Eave_Height,Material,Exposure,Heated,Insulated,Parapet,order,lat,long
avqc01,avqc,Arvida,QC,A,1,Building 60,Flat,0,48490,34,,2,1,1,0,47,48.4,-71.1
clab01,clab,Cold Lake,AB,C,1,US Depot,Flat,0,22752,22,,2,0,0,0,71,54.5,-110.2
clab02,clab,Cold Lake,AB,C,2,Arch Hanger,Flat,0,35200,67,,2,0,0,0,72,54.5,-110.2
clab03,clab,Cold Lake,AB,C,3,ME Garage,Flat,0,26112,21,,2,0,0,0,73,54.5,-110.2
clab04,clab,Cold Lake,AB,C,4,Cant Hangar,Flat,0,127563,53,,2,0,0,0,74,54.5,-110.2
cxbc01,cxbc,Comox,BC,C,1,US Depot,Flat,0,22752,22,,2,0,0,0,65,49.7,-124.9
cxbc02,cxbc,Comox,BC,C,2,Arch Hanger,Flat,0,35200,67,,2,0,0,0,66,49.7,-124.9
cxbc03,cxbc,Comox,BC,C,3,ME Garage,Flat,0,26112,21,,2,0,0,0,67,49.7,-124.9
cxbc04,cxbc,Comox,BC,C,4,Cant Hangar,Flat,0,127563,53,,2,0,0,0,68,49.7,-124.9
dvon01,dvon,Downsview,ON,C,1,US Depot,Flat,0,22752,22,,2,0,0,0,81,43.7,-79.5
dvon02,dvon,Downsview,ON,C,3,ME Garage,Flat,0,26112,21,,2,0,0,0,82,43.7,-79.5
edab01,edab,Edmonton ,AB,A,1,Administration Building,Flat,0,3404,60,,2,1,1,0,15,53.5,-113.5
edab02,edab,Edmonton ,AB,A,2,Mining Store Shed,Gable,21,368,7,,0,0,0,0,16,53.5,-113.5
edab03,edab,Edmonton ,AB,C,NA,ME Garage,Flat,0,26112,21,,2,0,0,0,16.25,53.5,-113.5
edab04,edab,Edmonton ,AB,C,NA,Cant Hangar,Flat,0,127563,53,,2,0,0,0,16.75,53.5,-113.5
