"","building_code","city_code","season","ground_max","roof_max","gr","sqrtgr","logground","measurement.x","wind_avg","measurement.y","temp_avg","City","Province","Type","Bld_Type","Name","Roof_Type","Slope","Size","Eave_Height","Material","Exposure","Heated","Insulated","Parapet","order","lat","long","roofflat","measurement.x.x","winter_wind","measurement.y.y","above_freeze","measurement.x.x.x","winter_wind_all","start_date.x","end_date.x","measurement.y.y.y","above_freeze_all","start_date.y","end_date.y","measurement","winter_wind_3month","start_date.x.x","end_date.x.x","winter_wind_snow","start_date.y.y","end_date.y.y","logsize","est_wind","est_wind_avg","est_temp_avg","slope15","exposed","sheltered","slope_1_15"
"1","avqc01","avqc",4,1.2133426615884,0.21510222790392,0.177280693009119,0.421047138701973,0.193379081073294,"wind",6.58656532940828,"temp",-11.6646169484694,"Arvida","QC","A",1,"Building 60","Flat",0,4504.8684096,34,NA,2,1,1,0,47,48.5,-71,1,"wind",0.823529411764706,"temp",0.032258064516129,"wind",0.801011804384486,1960-02-07,1967-03-27,"temp",0.0626151012891344,1960-02-07,1967-03-27,"wind",0.792410714285714,1960-02-07,1967-02-28,0.819526627218935,1960-02-11,1967-03-27,8.41291395976011,0.212278245469945,3.12339010431078,-5.29457794776107,0,1,0,0
"2","avqc01","avqc",5,1.1547395281296,0.35156253571992,0.304451806797821,0.551771516841728,0.143874801770117,"wind",6.58656532940828,"temp",-11.6646169484694,"Arvida","QC","A",1,"Building 60","Flat",0,4504.8684096,34,NA,2,1,1,0,47,48.5,-71,1,"wind",0.746666666666667,"temp",0.0625,"wind",0.801011804384486,1960-02-07,1967-03-27,"temp",0.0626151012891344,1960-02-07,1967-03-27,"wind",0.792410714285714,1960-02-07,1967-02-28,0.819526627218935,1960-02-11,1967-03-27,8.41291395976011,0.212278245469945,3.12339010431078,-5.29457794776107,0,1,0,0
"3","avqc01","avqc",6,0.6437258363592,0.504025891614,0.782982231169533,0.88486283183866,-0.440482363461374,"wind",6.58656532940828,"temp",-11.6646169484694,"Arvida","QC","A",1,"Building 60","Flat",0,4504.8684096,34,NA,2,1,1,0,47,48.5,-71,1,"wind",0.757142857142857,"temp",0,"wind",0.801011804384486,1960-02-07,1967-03-27,"temp",0.0626151012891344,1960-02-07,1967-03-27,"wind",0.792410714285714,1960-02-07,1967-02-28,0.819526627218935,1960-02-11,1967-03-27,8.41291395976011,0.212278245469945,3.12339010431078,-5.29457794776107,0,1,0,0
"4","avqc01","avqc",7,1.054793232738,0.12286683026604,0.116484280001594,0.341297934364675,0.05334475979382,"wind",6.58656532940828,"temp",-11.6646169484694,"Arvida","QC","A",1,"Building 60","Flat",0,4504.8684096,34,NA,2,1,1,0,47,48.5,-71,1,"wind",0.89247311827957,"temp",0.0833333333333333,"wind",0.801011804384486,1960-02-07,1967-03-27,"temp",0.0626151012891344,1960-02-07,1967-03-27,"wind",0.792410714285714,1960-02-07,1967-02-28,0.819526627218935,1960-02-11,1967-03-27,8.41291395976011,0.212278245469945,3.12339010431078,-5.29457794776107,0,1,0,0
"5","avqc01","avqc",8,1.0461729386052,0.5396457570084,0.515828442024009,0.718211975689635,0.0451386852512615,"wind",6.58656532940828,"temp",-11.6646169484694,"Arvida","QC","A",1,"Building 60","Flat",0,4504.8684096,34,NA,2,1,1,0,47,48.5,-71,1,"wind",0.780952380952381,"temp",0.0126582278481013,"wind",0.801011804384486,1960-02-07,1967-03-27,"temp",0.0626151012891344,1960-02-07,1967-03-27,"wind",0.792410714285714,1960-02-07,1967-02-28,0.819526627218935,1960-02-11,1967-03-27,8.41291395976011,0.212278245469945,3.12339010431078,-5.29457794776107,0,1,0,0
"6","avqc01","avqc",9,0.28843373496168,0.0507519427086,0.175957027756627,0.419472320608437,-1.24328990759077,"wind",6.58656532940828,"temp",-11.6646169484694,"Arvida","QC","A",1,"Building 60","Flat",0,4504.8684096,34,NA,2,1,1,0,47,48.5,-71,1,"wind",0.798319327731092,"temp",0.102040816326531,"wind",0.801011804384486,1960-02-07,1967-03-27,"temp",0.0626151012891344,1960-02-07,1967-03-27,"wind",0.792410714285714,1960-02-07,1967-02-28,0.819526627218935,1960-02-11,1967-03-27,8.41291395976011,0.212278245469945,3.12339010431078,-5.29457794776107,0,1,0,0
"7","avqc01","avqc",10,1.7713396366092,0.27044562067488,0.152678580146596,0.390741065344553,0.57173611715539,"wind",6.58656532940828,"temp",-11.6646169484694,"Arvida","QC","A",1,"Building 60","Flat",0,4504.8684096,34,NA,2,1,1,0,47,48.5,-71,1,"wind",0.745454545454545,"temp",0.0842105263157895,"wind",0.801011804384486,1960-02-07,1967-03-27,"temp",0.0626151012891344,1960-02-07,1967-03-27,"wind",0.792410714285714,1960-02-07,1967-02-28,0.819526627218935,1960-02-11,1967-03-27,8.41291395976011,0.212278245469945,3.12339010431078,-5.29457794776107,0,1,0,0
"8","avqc01","avqc",11,1.9304970054804,0.35715895925976,0.185008812883852,0.430126507999509,0.657777485558247,"wind",6.58656532940828,"temp",-11.6646169484694,"Arvida","QC","A",1,"Building 60","Flat",0,4504.8684096,34,NA,2,1,1,0,47,48.5,-71,1,"wind",0.92,"temp",0.0714285714285714,"wind",0.801011804384486,1960-02-07,1967-03-27,"temp",0.0626151012891344,1960-02-07,1967-03-27,"wind",0.792410714285714,1960-02-07,1967-02-28,0.819526627218935,1960-02-11,1967-03-27,8.41291395976011,0.212278245469945,3.12339010431078,-5.29457794776107,0,1,0,0
"9","clab01","clab",2,0.9255668431212,0.5012061776064,0.541512675536464,0.735875448385435,-0.0773489257827563,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,71,54.5,-110.25,1,"wind",0.984375,"temp",0.2,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.974082073434125,1958-02-01,1967-03-26,7.65620942226368,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"10","clab01","clab",5,0.7195150955412,0.38718918920556,0.538125178477773,0.733570159206175,-0.329177772275499,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,71,54.5,-110.25,1,"wind",1,"temp",0.0786516853932584,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.974082073434125,1958-02-01,1967-03-26,7.65620942226368,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
