"","X","CLUST","NAME","STATE","TIER","ECO3","LATITUDE","LONGITUDE","ELEVATION","PPTWT","logPPTWT","MCMT","MWMT","TD","MAT","ELEVATION_PRISM","medMax","PROP_ZERO","LOCATION","SCALE","SHAPE","EVENT10","EVENT15","EVENT20","EVENT30","EVENT50","RT_I","RT_II","RT_III","RT_IV","RATIO","rawDiff","w2","est_wind_avg","est_temp_avg"
"1",1,"10.1.1.0015","KELOWNA A","BC",1,"10.1.1",50,-119.5,443,96.2142405836241,4.56613727770842,-2.47503829027593,19.8039157414256,22.2819106412883,8.35512059358696,NA,0.432944968156804,0,0.360834575130142,0.179898991498437,0,16,18,19,20,22,31,38,41,45,1.72727272727273,16,0.00246286624004015,1.49213489703557,0.975413820091489
"2",2,"10.1.1.0025","OKANAGAN CENTRE","BC",1,"10.1.1",50,-119.5,502,98.9533329763361,4.59464198425365,-2.08413054873723,20.1938390773954,22.2895428827999,8.68074385730402,NA,0.482355132194636,0,0.388729579766554,0.178241589983331,0,16,18,19,21,23,31,38,42,46,1.65217391304348,15,0.00246286624004015,1.49213489703557,0.975413820091489
"3",3,"10.1.1.0028","PEACHLAND","BC",1,"10.1.1",49.75,-119.75,345,91.0488582358788,4.51139626612661,-1.50975116136198,20.4507891303889,21.9492315428393,9.10786336558248,NA,0.381019363653875,0.0333333333333333,0.303709304665278,0.153893488421612,0,13,15,16,17,19,26,33,36,40,1.73684210526316,14,0.00453711427278621,1.70205326946625,0.00131908003396575
"4",4,"10.1.1.0030","PENTICTON A","BC",1,"10.1.1",49.5,-119.5,344,85.9779998958202,4.45409144836235,-2.36302200164307,19.6866812959903,22.0426876650169,8.45508487542445,NA,0.25251980781441,0,0.223892742193728,0.120029453535898,0.0360007148111182,11,12,13,14,15,23,28,31,35,1.86666666666667,13,0.00339268841245126,1.66883668175471,0.72750513894465
"5",5,"10.1.1.0031","PRINCETON CS","BC",1,"10.1.1",49.5,-120.5,699.5,149.871924661944,5.00978109378399,-5.41361907784917,17.2272084873566,22.6419666602944,6.15550461877938,NA,1.00463152886792,0,0.866504888858669,0.313337793121825,0.0338314994552572,33,36,39,42,45,61,77,86,95,1.71111111111111,32,0.0343848742934711,2.04919301392173,-1.42202854365121
"6",6,"10.1.2.0002","OLIVER","BC",1,"10.1.2",49.25,-119.5,306,84.1156407026936,4.43206316117442,-2.36740286557573,21.085840777635,23.4462641095244,9.25974429991241,NA,0.0935621591082883,0.212121212121212,0.112084368410014,0.0893952201469835,0.120983550502799,7,8,8,9,11,19,26,30,35,2.36363636363636,15,0.00123999499987642,1.63213810903656,0.996521937220791
"7",7,"10.1.2.0006","NEZPERCE 0.2 WNW","ID",1,"10.1.2",46.25,-116.25,986.5,108.625092862921,4.68789956218019,-2.26469998617087,18.7982798267366,21.0629801633827,7.84412012480983,986.601199614083,0.434144540039329,0.0151515151515152,0.367305600398113,0.221695813292522,0.078958898970642,19,21,23,26,29,43,56,64,74,1.93103448275862,27,0.0293370511058258,1.89839053022757,2.57978125242551
"8",8,"10.1.2.0009","PENDLETON 1.0 WNW","OR",1,"10.1.2",45.75,-118.75,333.15,104.871096427613,4.65272391333044,1.0167052621762,22.6965132245575,21.6798079302186,11.4233471197873,340.860066025297,0.175225995395602,0.13953488372093,0.167839011480927,0.155376671029205,0.10036753097515,11,13,14,16,18,30,40,46,53,2.22222222222222,22,0.151700549395708,2.68107090372158,5.68850927763344
"9",9,"10.1.2.0010","RITZVILLE 0.2 ESE","WA",1,"10.1.2",47,-118.25,567.8,106.004056734369,4.66347720060313,-2.27237949500235,20.6788283205954,22.9512077655185,9.0503696886582,567.810815315854,0.280804830754046,0,0.22472744455096,0.140372697595315,0.164552622507488,13,15,16,18,21,36,51,61,73,2.42857142857143,30,0.364839049016421,4.11065193700795,5.38522797998763
"10",10,"10.1.2.0012","WENATCHEE 0.6 N","WA",1,"10.1.2",47.5,-120.25,202.85,97.4160851109152,4.57898559531963,-1.14636415579555,23.497067839661,24.6434321659772,11.1689757564752,204.276223371208,0.352960319071082,0,0.275302753944432,0.173220426917972,0.0977101001489349,15,17,18,20,23,36,47,54,63,2.04347826086957,24,0.0148163226942871,1.64628698610438,1.99040932851926
"11",11,"10.1.2.0013","WENATCHEE 1.0 WSW","WA",1,"10.1.2",47.5,-120.25,259.05,114.955429727041,4.74432420568209,-1.51785198864372,22.9387848880957,24.4566369841424,10.6668478386107,271.326878503998,0.334145022709011,0,0.284310496856135,0.189247182704921,0.100883113176143,16,18,20,22,25,39,51,58,67,2.04,26,0.0148163226942871,1.64628698610438,1.99040932851926
"12",12,"10.1.2.0032","COTTONWOOD","ID",1,"10.1.2",46,-116.25,1040,107.759795058744,4.67990463026979,-2.29984059218622,18.8296397558108,21.1294796365407,7.78987979607232,1025.99200064532,0.81181458328228,0,0.593687869229813,0.340649357153708,0.060301567056399,30,33,36,39,44,64,83,94,105,1.88636363636364,39,0.0131083360900555,1.8523151643736,2.77877051879108
"13",13,"10.1.2.0035","GRANGEVILLE","ID",1,"10.1.2",46,-116,1005.8,106.307776018943,4.66633843430879,-1.9434480411862,19.0694717516142,21.0129203637652,8.07291170279086,1007.17519913438,0.51224915353041,0.0117647058823529,0.41768104405677,0.232043578090663,0.0547978494682945,20,23,24,27,30,43,54,62,70,1.8,24,0.00960730018042271,1.87578462457162,2.60517103356597
"14",14,"10.1.2.0038","LEWISTON","ID",1,"10.1.2",46.5,-117,220.85,63.7389245654162,4.15478280902654,1.7246617878684,24.1446811946591,22.4200199990282,12.4946616496322,229.537791262675,0.144230293770341,0.0588235294117647,0.138077631187504,0.0643613352157648,0.171770619876942,6,7,8,9,10,19,25,30,35,2.5,15,0.0587048123337649,2.29510871009611,4.19038486319363
"15",15,"10.1.2.0039","MOSCOW U OF I","ID",1,"10.1.2",46.75,-117,810.8,215.267234696583,5.37188020837936,-1.57139645166232,18.8070435320348,20.3784396180088,8.3820943926393,805.250561044992,0.500896930172565,0.0224719101123595,0.435918357530247,0.281430237279556,0.120521909848473,24,27,30,33,38,62,84,98,119,2.21052631578947,46,0.104542197573324,2.61335340824422,3.65517332951731
"16",16,"10.1.2.0041","POTLATCH 3 NNE","ID",1,"10.1.2",47,-116.75,841.2,215.383460975473,5.37241997893066,-2.23353599472319,18.1584639316015,20.3919994355639,7.75707183506886,822.864002446618,0.492144337369035,0.027027027027027,0.452408963893605,0.267190990785699,0.120227682708963,24,27,29,33,37,60,80,95,110,2.16216216216216,43,0.0857638912653735,2.50209281576473,2.63910941824656
"17",17,"10.1.2.0043","ARLINGTON","OR",1,"10.1.2",45.75,-120.25,84.4,100.536416254256,4.61052001265455,1.57101859256271,23.9646762235585,22.3936572092697,12.3975328788553,113.750042313003,0.162720556919983,0.128571428571429,0.152417464096329,0.0903799285543849,0.126846774987461,8,9,10,11,12,21,28,32,38,2.33333333333333,16,0.24294640361834,3.19174277205636,5.99750042836871
"18",18,"10.1.2.0046","CONDON","OR",1,"10.1.2",45.25,-120.25,878.1,116.953063107466,4.76177268428588,-0.844953279646764,19.2503463639898,20.0953000078696,8.77559998204847,881.418657101853,0.421416581733088,0.0106382978723404,0.348941461103039,0.235465898058616,0.0959769559730357,20,22,24,27,30,47,62,73,85,2.06666666666667,32,0.165869565217391,2.92242534241337,5.00279855635239
"19",19,"10.1.2.0047","DUFUR","OR",1,"10.1.2",45.5,-121.25,405.4,149.377870525216,5.00647913940634,0.43026334274494,20.2706612603672,19.8403974932762,10.1392609263759,431.796740996901,0.413990178923114,0.0210526315789474,0.31559755849276,0.227556689002288,0.0807607797705903,18,21,22,25,28,43,56,65,74,2,28,0.0356475730388774,1.91822617500103,4.65947360751619
"20",20,"10.1.2.0048","ECHO","OR",1,"10.1.2",45.75,-119.25,200.9,87.8032830308063,4.47509889209242,1.10004002371073,22.9799595423995,21.8799191601072,11.6500396193528,242.979999944705,0.216449823302209,0.125,0.2129767008766,0.143266273852234,0.11205937666995,12,13,14,16,18,30,40,46,53,2.22222222222222,22,0.219729585759724,2.98738613591811,6.77029056284931
"21",21,"10.1.2.0051","HEPPNER","OR",1,"10.1.2",45.25,-119.5,574.5,98.4743419538178,4.58979602646671,0.703043684423333,20.7101645733506,20.0071202724835,10.3127327509841,619.976095040956,0.229113943578967,0.0303030303030303,0.195569192808616,0.12843917672938,0.104644990174714,11,12,13,15,17,28,36,41,47,2.11764705882353,19,0.245949613536076,3.42304959066631,3.61724933795176
"22",22,"10.1.2.0052","HERMISTON 1 SE","OR",1,"10.1.2",45.75,-119.25,195.1,81.1470012801254,4.39626234047592,1.18527552168142,23.2267442482442,22.0414682989466,11.7641488471748,183.191805728661,0.185548657487075,0.0895522388059701,0.157931436907728,0.102420281269867,0.115257958064088,9,10,11,12,14,23,30,34,40,2.14285714285714,16,0.219729585759724,2.98738613591811,6.77029056284931
"23",23,"10.1.2.0053","IONE 18 S","OR",1,"10.1.2",45.25,-120,659.9,105.838699247485,4.6619162299304,0.219505600062329,20.3780395580015,20.1585346561995,9.86737262495318,696.098077237774,0.263535877246357,0.0851063829787234,0.228349479562974,0.152316885207773,0.105403408132148,12,14,15,17,20,32,42,48,55,2.1,22,0.230687254390318,3.35368784116007,4.87924374863627
"24",24,"10.1.2.0054","KENT","OR",1,"10.1.2",45.25,-120.75,826,110.884924596023,4.70849294820013,-0.654960023596009,20.0304161411471,20.6853760116784,9.29488519483686,818.98799926477,0.307190299829646,0,0.259595044112302,0.146340164154177,0.0962709944143273,13,15,16,18,20,31,40,46,53,2,20,0.194622937449024,2.99324489803218,5.15859747136716
"25",25,"10.1.2.0056","MIKKALO 6 W","OR",1,"10.1.2",45.5,-120.25,472.4,99.8625225525862,4.60379446564452,0.490480021034276,22.0408409319882,21.5503611460345,10.9507198279191,456.85199644296,0.21994645934545,0.0882352941176471,0.182116566481446,0.107621444094823,0.115332272232033,9,11,11,13,15,24,32,37,42,2.13333333333333,17,0.238512276681743,3.16244318501643,6.54237692048633
"26",26,"10.1.2.0057","MILTON FREEWATER","OR",1,"10.1.2",46,-118.5,295.7,130.053243312092,4.86794393054634,1.07340005127764,23.2341869069182,22.160787132206,11.7982524974431,297.290750958551,0.170996963661344,0.154929577464789,0.144816383349924,0.101848710231345,0.0964295567725363,8,9,10,11,13,21,28,32,36,2.15384615384615,15,0.173388984661218,2.84568462677534,6.52313208233824
"27",27,"10.1.2.0058","MORGAN 3 NE","OR",1,"10.1.2",45.5,-120,289.9,85.0617988153779,4.44337803720802,1.07964132686002,22.6989228489604,21.6192816413134,11.4495610963069,294.115757903305,0.216379985882158,0.102564102564103,0.187215959421568,0.104732405229778,0.116220282316664,9,10,11,13,14,24,31,36,41,2.21428571428571,17,0.310044368967294,3.61372844274504,6.65504000399767
"28",28,"10.1.2.0059","MORO","OR",1,"10.1.2",45.5,-120.75,570,110.46199487942,4.70467152405485,-0.267903992230984,20.1063846572302,20.3742885792469,9.64956809593614,565.385596259284,0.277187347609103,0.0736842105263158,0.250789259551278,0.151261769243914,0.10224795776717,13,15,16,18,20,32,41,47,54,2.05,21,0.110089212043263,2.41306288032606,5.43675129805587
